iter	Passed	Remaining
0	1	957
1	3	826
2	4	784
3	6	784
4	7	760
5	9	747
6	10	731
7	11	737
8	13	735
9	15	736
10	16	735
11	18	736
12	19	732
13	21	738
14	22	736
15	24	732
16	25	731
17	27	732
18	28	733
19	30	730
20	32	731
21	33	730
22	35	732
23	36	729
24	38	730
25	39	726
26	41	722
27	42	724
28	44	722
29	45	718
30	47	713
31	48	708
32	49	705
33	51	701
34	52	696
35	53	691
36	55	688
37	56	684
38	57	680
39	59	680
40	60	679
41	62	677
42	63	675
43	64	671
44	66	670
45	67	669
46	68	664
47	70	660
48	71	656
49	73	657
50	74	655
51	75	653
52	77	651
53	78	650
54	80	649
55	81	646
56	82	643
57	83	639
58	85	637
59	86	635
60	87	632
61	89	631
62	90	628
63	91	625
64	93	624
65	94	623
66	96	621
67	97	618
68	98	615
69	99	612
70	101	610
71	102	608
72	103	607
73	105	604
74	106	601
75	107	599
76	108	597
77	109	594
78	111	593
79	112	591
80	113	588
81	115	586
82	116	585
83	117	583
84	119	581
85	120	579
86	121	577
87	123	576
88	124	574
89	125	573
90	127	571
91	128	568
92	129	566
93	130	565
94	132	563
95	133	561
96	134	559
97	135	557
98	137	556
99	138	554
100	140	553
101	141	551
102	142	550
103	144	549
104	145	548
105	147	546
106	148	545
107	149	543
108	150	541
109	152	539
110	153	537
111	154	536
112	156	534
113	157	533
114	158	531
115	160	530
116	161	528
117	162	526
118	164	525
119	165	524
120	166	522
121	168	521
122	169	519
123	170	518
124	172	516
125	173	515
126	175	514
127	176	512
128	177	511
129	179	510
130	180	508
131	182	507
132	183	506
133	184	504
134	186	503
135	187	501
136	189	501
137	190	500
138	192	499
139	193	498
140	195	497
141	196	496
142	198	495
143	199	494
144	201	493
145	203	493
146	204	491
147	206	490
148	207	489
149	209	488
150	210	487
151	212	486
152	214	485
153	215	484
154	217	483
155	218	482
156	220	480
157	221	480
158	223	478
159	224	477
160	226	476
161	227	475
162	229	474
163	230	472
164	232	471
165	233	470
166	235	469
167	236	468
168	238	466
169	239	465
170	241	464
171	243	464
172	244	462
173	246	461
174	247	459
175	249	458
176	250	457
177	252	456
178	253	454
179	254	453
180	256	451
181	257	450
182	259	449
183	260	447
184	262	446
185	263	444
186	264	443
187	266	442
188	269	443
189	270	442
190	272	440
191	273	438
192	275	437
193	276	436
194	278	435
195	279	434
196	281	432
197	282	431
198	284	429
199	285	428
200	286	426
201	288	425
202	289	423
203	290	422
204	292	420
205	293	418
206	294	416
207	295	415
208	297	413
209	298	412
210	300	410
211	301	409
212	302	407
213	303	406
214	305	404
215	306	403
216	307	401
217	309	399
218	310	398
219	311	396
220	312	394
221	313	392
222	315	391
223	316	389
224	317	387
225	318	386
226	319	384
227	320	382
228	322	381
229	323	379
230	324	377
231	325	376
232	327	374
233	328	373
234	329	371
235	330	370
236	332	368
237	333	366
238	334	365
239	335	363
240	337	362
241	338	360
242	339	359
243	341	358
244	342	356
245	343	355
246	345	353
247	346	352
248	348	351
249	349	349
250	350	348
251	352	346
252	353	345
253	355	344
254	357	343
255	358	341
256	359	340
257	361	339
258	363	337
259	364	336
260	365	335
261	367	333
262	368	332
263	370	331
264	371	329
265	373	328
266	374	327
267	376	325
268	377	324
269	379	322
270	380	321
271	381	320
272	383	318
273	384	317
274	386	316
275	387	314
276	388	312
277	389	311
278	391	309
279	392	308
280	393	307
281	395	305
282	396	304
283	398	302
284	399	301
285	401	300
286	402	298
287	404	297
288	405	296
289	406	294
290	408	293
291	410	292
292	411	290
293	413	289
294	414	288
295	416	286
296	417	285
297	419	284
298	420	282
299	422	281
300	423	280
301	425	278
302	426	277
303	428	276
304	430	275
305	431	273
306	433	272
307	435	271
308	436	269
309	438	268
310	439	267
311	441	265
312	443	264
313	444	263
314	446	262
315	447	260
316	448	259
317	450	257
318	451	256
319	453	254
320	454	253
321	455	251
322	457	250
323	458	248
324	459	247
325	460	245
326	462	244
327	463	243
328	464	241
329	465	240
330	467	238
331	468	237
332	470	235
333	471	234
334	472	232
335	474	231
336	475	230
337	476	228
338	478	227
339	479	225
340	480	224
341	482	222
342	483	221
343	484	219
344	486	218
345	487	217
346	489	215
347	490	214
348	492	212
349	493	211
350	495	210
351	496	208
352	497	207
353	498	205
354	500	204
355	501	202
356	503	201
357	504	200
358	505	198
359	507	197
360	508	195
361	510	194
362	511	193
363	512	191
364	514	190
365	515	188
366	516	187
367	518	185
368	519	184
369	520	182
370	522	181
371	523	180
372	524	178
373	525	177
374	526	175
375	528	174
376	529	172
377	531	171
378	532	170
379	533	168
380	535	167
381	536	165
382	538	164
383	539	162
384	541	161
385	542	160
386	543	158
387	544	157
388	546	155
389	547	154
390	548	152
391	549	151
392	551	150
393	552	148
394	553	147
395	555	145
396	556	144
397	557	142
398	558	141
399	560	140
400	561	138
401	562	137
402	564	135
403	565	134
404	566	132
405	567	131
406	569	130
407	570	128
408	571	127
409	572	125
410	573	124
411	575	122
412	576	121
413	577	120
414	579	118
415	580	117
416	581	115
417	582	114
418	584	112
419	585	111
420	586	110
421	588	108
422	589	107
423	590	105
424	592	104
425	593	103
426	594	101
427	596	100
428	597	98
429	598	97
430	599	96
431	601	94
432	602	93
433	604	91
434	605	90
435	606	89
436	608	87
437	609	86
438	610	84
439	612	83
440	613	82
441	614	80
442	615	79
443	617	77
444	619	76
445	620	75
446	621	73
447	623	72
448	624	70
449	625	69
450	627	68
451	628	66
452	630	65
453	631	63
454	632	62
455	634	61
456	635	59
457	636	58
458	638	57
459	639	55
460	640	54
461	642	52
462	643	51
463	644	50
464	646	48
465	647	47
466	649	45
467	650	44
468	651	43
469	653	41
470	654	40
471	655	38
472	657	37
473	658	36
474	659	34
475	660	33
476	662	31
477	663	30
478	664	29
479	665	27
480	667	26
481	668	24
482	669	23
483	670	22
484	672	20
485	673	19
486	674	18
487	675	16
488	677	15
489	678	13
490	679	12
491	680	11
492	682	9
493	683	8
494	684	6
495	686	5
496	687	4
497	688	2
498	689	1
499	691	0
