iter	MultiRMSE
0	1.295696066
1	1.215656101
2	1.139979611
3	1.07447742
4	1.0192279
5	0.9660719455
6	0.9212225158
7	0.8821890255
8	0.8416112077
9	0.8098937219
10	0.7770043076
11	0.7469436714
12	0.7201147329
13	0.6985753143
14	0.6764278022
15	0.6576248141
16	0.6365268339
17	0.6223253787
18	0.6037333872
19	0.5897498296
20	0.5723543927
21	0.5583354133
22	0.5456919378
23	0.5358651733
24	0.5248614215
25	0.5138521747
26	0.5057679829
27	0.4963526664
28	0.4889560569
29	0.4801902002
30	0.4697721364
31	0.463780084
32	0.4591231708
33	0.4543044253
34	0.4447805373
35	0.4382162948
36	0.4328943535
37	0.4275754201
38	0.4187956878
39	0.4141861295
40	0.409052172
41	0.4054722527
42	0.4027631781
43	0.3984395567
44	0.3907647011
45	0.3863556051
46	0.3792691884
47	0.3738752119
48	0.370799703
49	0.3683562533
50	0.3651389534
51	0.3596333304
52	0.3563830247
53	0.3534621476
54	0.3495020169
55	0.3481129287
56	0.3449388257
57	0.3435794289
58	0.3412108427
59	0.3387446958
60	0.3348106829
61	0.3332946922
62	0.3291450373
63	0.3246625386
64	0.3213445089
65	0.3187988058
66	0.3174243381
67	0.3154824851
68	0.3112992943
69	0.3087434505
70	0.3046786269
71	0.3019094962
72	0.3007781705
73	0.2980205439
74	0.2939426798
75	0.2913648566
76	0.2886755912
77	0.2852900383
78	0.2824746039
79	0.2784853136
80	0.2755884369
81	0.2735108422
82	0.2700456718
83	0.2676563128
84	0.265676392
85	0.2642639877
86	0.2629197562
87	0.2600366608
88	0.2570337533
89	0.2542999951
90	0.2522330166
91	0.2500530755
92	0.2488321168
93	0.2475984868
94	0.2457730209
95	0.2442618252
96	0.2425389348
97	0.2406053103
98	0.2388239297
99	0.2362889648
100	0.2354477672
101	0.2344827632
102	0.2334205935
103	0.2317491035
104	0.2293173394
105	0.2269830336
106	0.2252533827
107	0.2230077898
108	0.2209503157
109	0.2188138986
110	0.2165935322
111	0.2157254435
112	0.2129289268
113	0.2118356134
114	0.2106947606
115	0.2091216158
116	0.2078857352
117	0.2066700556
118	0.2059791683
119	0.2046725031
120	0.2027688574
121	0.2008996808
122	0.1983752251
123	0.1976983256
124	0.1965852827
125	0.1954244074
126	0.1933904014
127	0.1918962129
128	0.1906906563
129	0.1898415782
130	0.1890973285
131	0.1876894923
132	0.1866071756
133	0.1854637598
134	0.1835725579
135	0.1818753453
136	0.18124084
137	0.1800566841
138	0.1791835188
139	0.1777161057
140	0.1768522396
141	0.1751111183
142	0.1743947211
143	0.1731409471
144	0.1721956364
145	0.1713747514
146	0.1698807622
147	0.1680055016
148	0.1672545375
