iter	Passed	Remaining
0	135	67605
1	136	34067
2	138	22940
3	140	17422
4	141	14041
5	143	11788
6	144	10165
7	145	8948
8	147	8020
9	148	7263
10	149	6648
11	150	6128
12	152	5701
13	153	5326
14	154	5003
15	155	4718
16	157	4462
17	158	4248
18	159	4049
19	161	3872
20	162	3709
21	164	3568
22	165	3431
23	166	3304
24	167	3187
25	168	3078
26	170	2979
27	171	2885
28	172	2796
29	173	2714
30	174	2640
31	175	2569
32	177	2505
33	178	2442
34	179	2381
35	180	2323
36	181	2270
37	182	2218
38	183	2169
39	184	2122
40	185	2077
41	186	2036
42	187	1996
43	188	1958
44	189	1920
45	191	1886
46	192	1855
47	193	1823
48	194	1791
49	195	1760
50	196	1732
51	198	1705
52	199	1678
53	200	1652
54	201	1627
55	202	1602
56	203	1579
57	204	1556
58	205	1534
59	206	1514
60	207	1493
61	208	1473
62	209	1454
63	210	1435
64	211	1417
65	212	1399
66	213	1382
67	214	1365
68	215	1348
69	217	1333
70	218	1318
71	219	1303
72	220	1288
73	221	1274
74	222	1260
75	223	1247
76	224	1233
77	225	1220
78	226	1207
79	227	1195
80	228	1183
81	229	1171
82	230	1160
83	232	1149
84	233	1138
85	234	1127
86	235	1117
87	236	1107
88	237	1098
89	238	1088
90	239	1078
91	240	1068
92	241	1059
93	243	1049
94	243	1040
95	244	1030
96	245	1021
97	247	1013
98	248	1004
99	249	996
100	250	988
101	251	980
102	252	972
103	253	964
104	254	956
105	255	948
106	256	941
107	257	933
108	258	926
109	259	919
110	260	911
111	261	904
112	262	897
113	263	891
114	264	884
115	265	878
116	266	872
117	267	866
118	268	860
119	269	854
120	270	848
121	271	841
122	273	836
123	274	831
124	275	825
125	276	819
126	277	814
127	278	808
128	279	802
129	280	797
130	281	792
131	282	786
132	283	781
133	284	777
134	285	772
135	286	767
136	287	762
137	288	757
138	289	752
139	290	747
140	291	742
141	292	738
142	293	733
143	294	729
144	296	725
145	297	720
146	298	717
147	299	712
148	300	708
149	303	708
150	304	703
151	305	699
152	306	695
153	307	691
154	308	687
155	309	683
156	310	679
157	312	675
158	313	671
159	314	667
160	315	663
161	316	659
162	317	655
163	318	651
164	319	648
165	320	644
166	321	640
167	322	636
168	323	633
169	324	629
170	325	625
171	326	622
172	327	618
173	328	614
174	329	612
175	330	608
176	331	605
177	332	601
178	333	598
179	334	595
180	335	592
181	336	588
182	338	585
183	339	582
184	340	579
185	341	575
186	342	573
187	343	570
188	344	566
189	345	563
190	346	560
191	347	557
192	348	554
193	349	551
194	350	548
195	351	545
196	353	543
197	354	540
198	355	537
199	356	535
200	357	532
201	359	529
202	360	527
203	361	524
204	362	521
205	363	518
206	364	516
207	366	513
208	367	511
209	368	508
210	369	506
211	370	503
212	371	500
213	372	498
214	373	495
215	374	493
216	376	490
217	377	487
218	378	485
219	379	482
220	380	480
221	381	477
222	382	474
223	383	472
224	384	470
225	385	467
226	386	465
227	387	462
228	388	460
229	389	457
230	390	455
231	392	452
232	393	450
233	394	447
234	395	445
235	396	443
236	397	440
237	398	438
238	399	436
239	400	433
240	401	431
241	402	429
242	403	426
243	404	424
244	405	422
245	406	420
246	407	417
247	408	415
248	409	413
249	410	410
250	411	408
251	413	406
252	413	404
253	414	401
254	416	399
255	417	397
256	421	398
257	422	396
258	423	394
259	424	392
260	426	390
261	427	388
262	428	386
263	429	384
